OrganisationLabel,OrganisationURI,EffectiveDate,TrafficRegulationOrderType,Location,SideOfRoad,ParkingSpaces,FreeParking,ParkingStartPoint,ParkingEndPoint
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Grosvenor square, Sale",south,11,TRUE,a point 23 metres northwest of its junction with Washway Road,a point 115 metres northwest of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hale road, Hale",south,4,TRUE,from a point 5 metres east of its junction with Brown Street,to a point 31 metres east of its junction with Brown Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hale road, Hale",south,4,TRUE,from a point 42 metres east of its junction with Brown Street,to a point 20 metres west of its junction with Victoria Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hale road, Hale",south,4,TRUE,a point 5 metres east of its junction with Bold Street,a point 25 metres east of its junction with Bold Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hale road, Hale",south,3,TRUE,a point 18 metres east of its junction with Byrom Street,a point 7 metres west of its junction with Bold Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hale road (service road fronting 315-325), Hale",north-east,7,TRUE,a point 1 metre northwest of its junction with Cottesmore Gardens,a point 42 metres northwest of its junction with Cottesmore Gardens
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hamon road, Altrincham",west,7,TRUE,from a point 11 metres west of its junction with Borough Road,to a point 23 metres east of its junction with Manor Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hampden road, Sale",north-west,8,TRUE,a point 68 metres northeast of its junction with Marsland Road,a point 3 metres southwest of its junction with Belgrave Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hampden road, Sale",south-east,23,TRUE,a point 30 metres northeast of its junction with Marsland Road,a point 162 metres northeast of its junction with Marsland Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Hampson street, Sale Moor",north-west,1,TRUE,from a point 14 metres north of its junction with Northenden Road,to a point 7 metres north of its junction with Northenden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hampson street, Sale Moor",south-east,4,TRUE,from a point 10 metres south of its junction with Alice Street,to a point 44 metres south of its junction with Alice Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hampson street, Sale Moor",north-west,13,TRUE,from a point 3 metres south of its junction with Alice Street,to a point 14 metres north of its junction with Northenden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Harcourt road, Altrincham",north,29,TRUE,from a point 30 metres from its junction with Manchester Road,to a point 25 metres from its junction with Hawarden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Harcourt road, Altrincham",south,24,TRUE,A point 65 metres from its junction with Manchester Road,A point 9 metres from its junction with Hawarden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Harley road, Sale",north-west,17,FALSE,a point 145 metres southwest of its junction with Dargle Road,a point 234 metres southwest of its junction with Dargle Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Harold street, Stretford",north,6,TRUE,from a point 15 metres east of its junction with Hadfield Street,to a point 47 metres east of its junction with Hadfield Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Harold street, Stretford",south,6,TRUE,from a point 15 metres east of its junction with Hadfield Street,to a point 47 metres east of its junction with Hadfield Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hawarden road, Altrincham",west,12,TRUE,from a point 21 metres south of its junction with Navigation Road,to a point 18 metres north of its junction with Gladstone Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hawarden road, Altrincham",west,3,TRUE,from a point 28 metres south of its junction with Gladstone Road,to a point 10 metres north of its junction with Harcourt Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hawarden road, Altrincham",west,5,TRUE,from a point 10 metres south of its junction with Harcourt Road,to a point 38 metres south of its junction with Harcourt Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hawarden road, Altrincham",east,14,TRUE,from a point 18 metres south of its junction with Gladstone Road,to a point 9 metres north of its junction with Ellesmere Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hawarden road, Altrincham",east,10,TRUE,a point 10 metres south of its junction with Navigation Road,a point 16 metres north of its junction with Gladstone Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hawthorn road, Hale",west,3,TRUE,from a point 10 metres north of its junction with Elm Road,to a point 28 metres north of its junction with Elm Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hawthorn road, Hale",east,14,TRUE,from a point 5 metres north of its junction with Cedar Road,to a point 9 metres south of its junction with Stamford Park Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hawthorn road, Hale",east,24,TRUE,from a point 11 metres north of its junction with Hale Road,to a point 5 metres south of its junction with Cedar Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hawthorn road, Hale",west,3,TRUE,from a point 25 metres south of its junction with Elm Road,to a point 8 metres south of its junction with Elm Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hawthorn road, Hale",west,21,TRUE,a point 40 metres north of its junction with Elm Road,a point 9 metres south of its junction with Stamford Park Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hazel avenue, Sale",north,7,TRUE,from a point 10 metres from its junction with West Grove,to a point 45 metres from its junction with West Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hazel road, Altrincham",east,7,TRUE,from a point 42 metres south of its junction with Derby Street,to its junction with Barrington Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Hazel road, Altrincham",west,22,FALSE,a point 5 metres south of its junction with Ellesmere Road,a point 207 metres south of its junction with Ellesmere Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Hazel road, Altrincham",east,6,FALSE,a point 5 metres south of its junction with Ellesmere Road,a point 10 metres north of its junction with Colwick Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Hazel road, Altrincham",east,2,FALSE,a point 10 metres south of its junction with Colwick Avenue,a point 12 metres north of its junction with Poplar Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Hazel road, Altrincham",east,5,FALSE,a point 5 metres south of its junction with Poplar Avenue,a point 10 metres north of its junction with Derby Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Hazel road, Altrincham",east,6,FALSE,a point 10 metres south of its junction with Derby Street,a point 42 metres south of its junction with Derby Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Herbert street, Stretford",south-west,3,TRUE,from a point 25 metres south-east of its junction with Cyprus Street,to a point 43 metres south-east of its junction with Cyprus Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Heywood grove, Sale",north-west,4,TRUE,A point 4 metres southwest of its junction with Southern Road,A point 27 metres southwest of its junction with Southern Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Heywood road, Sale",west,6,TRUE,from a point 10 metres from its junction with Marsland Road,to a point 45 metres from its junction with Marsland Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"High street, Altrincham",south,3,FALSE,a point 55 metres from its junction with Groby Road,a point 71 metres from its junction with Groby Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Higher road, Urmston",north,3,TRUE,A point 30 metres east of its junction with Station Road,A point 43 metres east of its junction with Station Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Higher road, Urmston",south,4,TRUE,a point 53 metres east of its junction with Station Road,a point 15 metres west of its junction with Atkinson Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Higher road, Urmston",north,5,TRUE,a point 80 metres east of its junction with Station Road,a point 105 metres east of its junction with Station Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hollins grove, Sale",south-east,8,TRUE,a point 31 metres southwest of its junction with Barker's Lane,a point 85 metres southwest of its junction with Barker's Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hollins grove, Sale",south-east,4,TRUE,a point 16 metres from its junction with the cul-de-sac end,a point 6 metres from its junction with the cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Hope road, Sale",south-east,1,TRUE,from a point 12 metres south of its junction with Thorn Grove,to a point 7 metres south of its junction with Thorn Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Hope road, Sale",south-east,10,FALSE,a point 30 metres north of its junction with Montague Road,a point 12 metres south of its junction with Thorn Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Huxley street, Altrincham",north,4,TRUE,A point 82 metres south and east of its junction with Clarke Street,A point 104 metres south and east of its junction with Clarke Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hyde grove, Sale",north-west,11,TRUE,from a point 16 metres north-east of its junction with Darley Street,to a point 5 metres south-west of its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Hyde grove, Sale",south-east,12,TRUE,from a point 16 metres north-east of its junction with Darley Street,to a point 5 metres south-west of its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Irlam road, Sale",west,3,TRUE,from a point 144 metres south of its junction with Broad Road,to a point 174 metres south of its junction with Broad Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Irlam road, Sale",west,10,TRUE,a point 12 metres south of its junction with Broad Road,a point 105 metres south of its junction with Broad Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Jackson street, Stretford",south,1,TRUE,from a point 10 metres east of its junction with Pinnington Lane,to a point 22 metres east of its junction with Pinnington Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Jackson street, Stretford",south,2,TRUE,from a point 21 metres west of its junction with Pinnington Lane,to a point 10 metres west of its junction with Pinnington Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Jackson street, Stretford",south,2,TRUE,from a point 7 metres east of its junction with Bennett Street,to a point 18 metres east of its junction with Bennett Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Jackson street, Stretford",south,2,TRUE,from a point 18 metres west of its junction with Bennett Street,to a point 7 metres west of its junction with Bennett Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"James street, Sale Moor",south-east,4,TRUE,from a point 65 metres northeast of its junction with Northenden Road,to a point 8 metres south of its junction with Alice Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"James street, Sale Moor",north-west,5,TRUE,a point 7 metres northeast of its junction with Northenden Road,a point 33 metres northeast of its junction with Northenden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"James street, Sale Moor",north-east,5,TRUE,a point 16 metres northeast of its junction with Northenden Road,a point 50 metres northeast of its junction with Northenden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Kelsall street, Sale",south-east,4,TRUE,from a point 5 metres north-east of its junction with Roebuck Lane,to a point 5 metres south-west of its junction with Albion Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Kelsall street, Sale",south-east,3,TRUE,from a point 16 metres north-east of its junction with Darley Street,to a point 72 metres north-east of its junction with Darley Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Kelsall street, Sale",north-west,5,TRUE,from a point 5 metres north-east of its junction with Palmer Street,to a point 5 metres south-west of its junction with Goodier Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Kelsall street, Sale",north-west,5,TRUE,from a point 39 metres north-east of its junction with Goodier Street,to a point 74 metres north-east of its junction with Goodier Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Kingsway, Altrincham",south,9,FALSE,a point 52 metres west of its junction with Post Office Street,a point 5 metres west of its junction with Post Office Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Kirklands, Sale",south-east,2,TRUE,from a point 130 metres from its junction with Framingham Road,to a point 143 metres south-west of its southerly junction with Framingham Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Kirklands, Sale",south,4,TRUE,from a point 168 metres from its junction with Framingham Road,to a point 191 metres from its junction with Framingham Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Lacy street, Stretford",north-west,11,TRUE,from a point 5 metres north-east of its junction with Newton Street,to a point 65 metres north-east of its junction with Newton Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Lacy street, Stretford",south-east,2,TRUE,from a point 78 metres north-east of its junction with Newton Street,to a point 68 metres north-east of its junction with Newton Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Lacy street, Stretford",south-east,2,TRUE,from a point 56 metres north-east of its junction with Newton Street,to a point 46 metres north-east of its junction with Newton Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Lansdowne road, Altrincham",south,7,TRUE,a point 6 metres east of its junction with Weldon Road,a point 67 metres east of its junction with Weldon Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Lansdowne road, Altrincham",east,13,TRUE,a point 106 metres north of its junction with Rutland Road,a point 5 metres north of its junction with Rutland Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Leicester road, Sale",south-east,10,FALSE,a point 10 meters south of its junction with Chapel Road,a point 17 meters northeast of its junction with Ashfield Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Leigh road, Hale",south-east,18,TRUE,from a point 15 metres north of its junction with Ashley Road,to a point 138 metres north-east of its junction with Ashley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Leigh road, Hale",north-west,3,TRUE,A point 21 metres southwest of its junction with Addison Road,A point 5 metres southwest of its junction with Addison Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Leigh road, Hale",north-west,7,TRUE,A point 5 metres northeast of its junction with Addison Road,A point 5 metres south of its junction with Carver Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Leigh road, Hale",north-west,19,TRUE,A point 22 metres north east of its junction with Carver Road,A point 56 metres south east of its junction with Westgate
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Linden avenue, Sale",north-west,6,TRUE,a point 32 metres southwest of its junction with Barker's Lane,a point 95 metres southwest of its junction with Barker's Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Linden avenue, Sale",south-east,7,TRUE,a point 27 metres southwest of its junction with Barker's Lane,a point 103 metres southwest of its junction with Barker's Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Linley road, Sale",south-west,17,FALSE,a point 10 meters southeast of its junction with Sefton Road,a point 10 meters northwest of its junction with Symons Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Linton road, Sale",south,3,TRUE,from its cul-de-sac end,to a point 5 metres west of its junction with Meadows Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Linton road, Sale",north,6,TRUE,from a point 32 metres west of its junction with Trafalgar Road,to its easterly end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Lloyd street, Altrincham",north,3,TRUE,from a point 12 metres west of its junction with the new link road between the junction of Lloyd Street with Denmark Street and the junction of Manor Road with Stamford Park Road,to a point 30 metres west of its junction with the new link road between the junction of Lloyd Street with Denmark Street and the junction of Manor Road with Stamford Park Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Lloyd street, Altrincham",north,5,FALSE,a point 50 metres east of its junction with Railway Street,a point 90 metres east of its junction with Railway Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Lostock road, Urmston",north,5,TRUE,from a point 44 metres east of its junction with Davyhulme Circle,to a point 73 metres east of its junction with Davyhulme Circle
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Lynwood grove, Sale",west,17,TRUE,from a point 8 metres north of its junction with Broad Road,to a point 31 metres south of its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Lynwood grove, Sale",east,19,TRUE,from a point 15 metres north of its junction with Broad Road,to its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Lyons fold, Sale",south,9,TRUE,A point 4 metres west of its junction with Mersey Road,A point 49 metres west of its junction with Mersey Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Lyons fold, Sale",east,9,TRUE,A point 61 metres north of its junction with Southern Road,A point 8 metres north of its junction with Southern Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Manor road, Altrincham",north-east,14,TRUE,from a point 10 metres south-east of its junction with Sefton Road,to a point 10 metres north-west of its junction with Symons Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Market street, Altrincham",south-east,2,TRUE,a point 33 metres south of its junction with Post Office Street,a point 46 metres south of its junction with Post Office Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Market street, Altrincham",north-west,2,TRUE,a point 49 metres southwest of its junction with High Street,a point 61 metres southwest of its junction with High Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Market street, Altrincham",south-east,2,TRUE,a point 21 metres south of its junction with Post Office Street,a point 31 metres south of its junction with Post Office Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Market street, Altrincham",south-east,7,FALSE,a point 44 metres southwest of its junction with High Street,a point 6 metres southwest of its junction with High Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Market street, Altrincham",north-west,9,FALSE,a point 4 metres south of its junction with High Street,a point 43 metres south of its junction with High Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Market street, Altrincham",north-west,9,FALSE,a point 104 metres northeast of its junction with Regent Road,a point 61 metres southwest of its junction with High Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Market street, Altrincham",North west,4,FALSE,a point 9 metres northeast of its junction with Regent Road,a point 31 metres northeast of its junction with Regent Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Market street, Altrincham",North west,2,FALSE,"a point 82 metres northeast of 
its junction with Regent Road",a point 94 metres northeast of its junction with Regent Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Market street, Altrincham",South east,4,FALSE,a point 8 metres northeast of its junction with Regent Road,a point 31 metres northeast of its junction with Regent Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Market street, Altrincham",South east,5,FALSE,a point 52 metres northeast of its junction with Regent Road,a point 52 metres northeast of its junction with Regent Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Market street, Altrincham",South east,3,TRUE,a point 74 metres northeast of its junction with Regent Road,a point 74 metres northeast of its junction with Regent Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Marsland road, Sale",south,2,TRUE,from a point 20 metres west of its junction with The Grove,to a point 7 metres west of its junction with The Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Marsland road, Sale",north,13,TRUE,from a point 45 metres east of its junction with West Grove,to a point 24 metres west of its junction with Wardle Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Marsland road, Sale",south,3,TRUE,from a point 7 metres east of its junction with The Grove,to a point 25 metres east of its junction with The Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Marsland road, Sale",south,3,TRUE,from a point 11 metres east of its junction with Heywood Road,to a point 54 metres east of its junction with Heywood Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Marsland road, Sale",north-east,3,TRUE,from a point 24 metres west of its junction with Brogden Grove,to a point 7 metres west of its junction with Brogden Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Marsland road, Sale",north-east,4,TRUE,a point 13 metres southeast of its junction with Brogden Grove,a point 10 metres northwest of its junction with Hampden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Marsland road (service road outside nos. 1-17), Sale",north-west,10,TRUE,from a point 3 metres from its junction with Marsland Road,to a point 1 metre from its junction with Conway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Massey road, Altrincham",cul-de-sac end,2,TRUE,"from a point 60 metres west of its junction with Borough Road (north side), around its cul-de-sac end",to a point 60 metres west of its junction with Borough Road (south side)
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Massey road, Altrincham",north,5,TRUE,from a point 8 metres west of its junction with Charter Road,to a point 10 metres east of its junction with Borough Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Massey road, Altrincham",north,7,TRUE,from a point 9 metres west of its junction with Borough Road,to a point 49 metres west of its junction with Borough Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mayors road, Altrincham",south,7,TRUE,from a point 10 metres east of its junction with Charter Road,to a point 50 metres east of its junction with Charter Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mayors road, Altrincham",south,5,TRUE,from a point 68 metres south-east of its junction with Charter Road,to a point 109 metres south-east of its junction with Charter Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Meadows road, Sale",east,7,TRUE,from a point 26 metres north of its junction with Dane Road,to a point 5 metres south of its junction with Linton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Meadows road, Sale",west,8,TRUE,from a point 5 metres north of its junction with Linton Road,to a point 48 metres north of its junction with Linton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Meadows road, Sale",east,7,TRUE,a point 5 metres north of its junction with Linton Road,a point 43 metres north of its junction with Linton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Meadows road, Sale",west,6,TRUE,a point 35 metres north of its junction with Dane Road,a point 5 metres south of its junction with Linton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Melrose avenue, Sale",east,1,TRUE,from a point 60 metres from its junction with Poplar Grove,to a point 37 metres from its junction with Poplar Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mersey road, Sale",south-west,5,TRUE,A point 2 metres northwest of its junction with Arnside Grove,A point 42 metres northwest of its junction with Arnside Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mersey road, Sale",south-west,7,TRUE,A point 55 metres northwest of its junction with Arnside Grove,A point 5 metres southeast of its junction with Somerset Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mersey road, Sale",south-west,4,TRUE,A point 6 metres northwest of its junction with Somerset Place,A point 32 metres northwest of its junction with Somerset Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mill street, Altrincham",north,4,TRUE,from a point 29 metres west of its junction with Grosvenor Road,to a point 7 metres west of its junction with Grosvenor Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Mill street, Altrincham",south,12,FALSE,a point 8 metres east of its junction with Hart Street,a point 30 metres west of its junction with Grosvenor Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Mitford street, Stretford",south,2,TRUE,from a point 26 metres east of its junction with Bennett Street,to a point 37 metres east of its junction with Bennett Street
